201208172_T-15-12-44_Dive_01_154.jpg
x,y,label
308,313,3
140,148,3
193,546,3
346,349,3
381,800,3
207,806,3
186,948,3
367,1138,3
338,1293,3
118,1256,3
480,20,2
746,76,3
740,496,3
652,594,3
567,806,3
674,750,3
730,959,2
614,1218,3
636,1338,3
499,1469,4
834,211,3
1081,42,3
1059,530,4
1202,601,3
844,687,2
1087,832,3
1020,1030,3
863,1012,3
1028,1457,3
961,1360,5
1587,149,4
1420,94,3
1294,577,3
1393,413,3
1233,826,3
1561,773,3
1338,1010,3
1299,927,3
1605,1322,1
1552,1427,3
1872,267,4
1763,304,4
1963,524,3
1716,497,3
1817,714,3
2003,623,3
1801,979,0
2030,951,3
1671,1273,3
2002,1250,2
249,403,3
342,336,3
353,394,3
307,372,3
254,419,3
327,374,3
376,371,3
284,434,3
385,404,3
308,451,3
192,107,3
234,118,3
218,176,3
215,168,3
223,143,3
181,103,3
313,179,3
296,165,3
197,124,3
155,125,3
138,502,3
230,546,3
94,579,3
175,621,3
147,554,3
159,564,3
234,551,3
107,588,3
165,597,3
161,595,3
368,438,3
269,449,3
343,332,3
293,421,3
370,394,3
359,392,3
332,473,3
345,327,3
366,351,3
292,454,3
319,850,3
317,876,3
392,761,3
357,870,3
347,836,3
390,764,3
377,849,3
341,782,3
329,854,3
340,834,3
238,830,3
285,749,3
186,848,3
314,771,3
223,797,3
231,782,3
188,817,3
296,726,3
333,764,3
309,724,3
139,976,3
238,1008,3
128,1037,3
212,999,3
229,1016,3
106,1019,3
192,958,3
161,964,3
112,1010,3
187,950,3
362,1078,3
414,1050,3
389,1114,3
387,1106,3
415,1119,3
415,1057,3
388,1121,3
349,1109,3
416,1055,3
414,1109,3
337,1252,3
307,1279,3
313,1288,3
373,1252,3
321,1316,3
315,1341,3
315,1365,3
333,1268,3
308,1378,3
347,1251,3
117,1102,3
155,1125,3
128,1179,3
166,1254,3
195,1184,3
68,1170,3
105,1148,3
74,1158,3
94,1182,3
146,1127,3
506,36,2
554,18,2
516,25,2
560,66,2
529,88,2
580,118,2
570,116,2
578,120,2
594,70,2
519,45,2
635,182,3
685,208,3
698,130,3
780,126,3
647,194,3
625,169,3
635,192,3
796,189,3
704,146,3
731,172,3
739,606,3
699,523,3
733,462,3
755,493,3
777,439,3
720,570,3
804,478,3
738,453,3
657,491,3
706,584,3
607,612,3
628,570,3
641,728,3
581,545,3
656,613,3
643,753,3
654,636,3
575,726,3
589,681,3
559,590,3
672,912,3
685,920,3
586,808,3
667,901,3
554,836,3
639,882,3
639,827,3
596,811,3
589,817,3
581,802,3
694,826,3
673,771,3
714,847,3
694,833,3
625,763,3
643,774,3
617,767,3
